Date,Product,Category,Quantity,Unit Price,Total Revenue,Region
2025-01-15,Laptop Pro,Computers,45,1299.99,58499.55,North America
2025-01-20,Wireless Mouse,Accessories,180,29.99,5398.2,Europe
2025-01-25,Office Chair,Furniture,12,249.99,2999.88,Asia
2025-02-10,"Monitor 27""",Computers,28,399.99,11199.72,North America
2025-02-15,Mechanical Keyboard,Accessories,95,89.99,8549.05,Europe
2025-02-20,Standing Desk,Furniture,8,599.99,4799.92,Asia
2025-03-05,Ultrabook Air,Computers,62,1099.99,68199.38,North America
2025-03-12,Gaming Headset,Accessories,210,79.99,16797.9,Europe
2025-03-18,Ergonomic Chair,Furniture,15,349.99,5249.85,Asia
2025-04-02,Dual Monitor Stand,Furniture,32,89.99,2879.68,Europe
2025-04-08,SSD 2TB,Accessories,75,199.99,14999.25,North America
2025-04-22,Developer Laptop,Computers,38,1499.99,56999.62,Europe
